Acronym,Translation
g2h,go to hell
wtfru,what the fuck are you
lovu,love you
prnoscrn,porn on screen
roflmgdmfao,roling on floor laughing my god damn mother fucking ass off
wu2kilu,want you to know i love you
rtry,retry
srch,search
tyclos,"turn your caps lock off, stupid"
haxor,hacker
acgaf,absolutely couldn't give a fuck
eob,end of business
whatev,whatever
cmitm,call me in the morning
fmir,family member in room
afaiaa,as far as i am aware
iflu,i fucking love you
mpbis,most popular boy in school
ngaf,nobody gives a fuck
ayfkm,are you fucking kidding me
tgif,thank god it's friday
lulas,love you like a sister
iuno,i dunno
lulab,love you like a brother
fps,first person shooter
pebkac,problem exists between keyboard and chair
r2f,ready to fuck
spos,stupid peace of shit
c&c,command and conquer
dats,that's
2l8,too late
sz,sorry
sx,sex
dym,do you mind
ss,screenshot
muzik,music
wtva,whatever
bling-bling,jewelry
su,shut up
st,stop that
sk,spawn kill
sh,shit happens
sn,screen name
sm,social media
wtvr,whatever
sg,so good
sd,suck dick
tty,talk to you
wsidi,why should i do it
tts,text to speech
ttr,time to run
dyk,did you know
see through your eyes,stye
ttt,to the top
wfhw,what's for homework
ttm,talk to me
ttl,total
ttc,text the cell
avie,avatar
dju,did you
jic,just in case
otflmao,on the floor laughing my ass off
ploxxorz,please
dqmot,don't quote me on this
mmmkay,okay
errythin,everything
cless,clanless
lmkwut,let me know what you think
rotfalol,roll on the floor and laugh out loud
troll,person who diliberately stirs up trouble
dilligas,do i look like i give a shit
blu,blue
nst,no school today
oicic,oh i see i see
dilligaf,do i look like i give a fuck
blh,bored like hell
blk,black
blj,blowjob
ilum,i love you more
blg,blog
vrsty,varsity
roflcopters,"rolling on the floor laughing, very funny."
shizit,shit
pbkc,problem between keyboard & chair
ftlog,for the love of god
gafi,get away from it
gd4u,good for you
ilu2,i love you too
gafm,get away from me
dunno,i don't know
tanstaafl,there ain't no such thing as a free lunch
y'all,you all
sho'nuff,sure enough
nmjfa,"nothing much, just fucking around"
iwfusb,i wanna fuck you so bad
ffxi,final fantasy 11
wtfwt,what the fuck was that
bitd,back in the day
fmr,fuck me runnig
ukr,you know right
fmq,fuck me quick
fmn,fuck me now
fml,fuck my life
2,too
fmh,fuck me hard
fmi,for my information
fmb,fuck me bitch
n2b,not too bad
w'sup,what's up
2ge4,together
lolbs,laugh out loud but seriously
p911,parent emergency (parent near)
hfwt,have fun with that
azhol,asshole
vfe,virgins 4 ever
sah,sexy as hell
whut,what
sab,slap a bitch
idrgaff,i don't really give a flying fuck
noty,no thank you
omfg,oh my fucking god
omfd,oh my fucking days
zot,zero tolerance
6up,cops in area
omfl,oh my fucking internet connection is slow
omfj,oh my fucking jesus
whteva,what ever
whteve,whatever
whtevr,whatever
smtoay,sticking my tongue out at you
ysoab,you son of a bitch
lawl,lauging out loud with a southern drawl
bffene,best friends for ever and ever
lawd,lord
wgph2,want to go play halo 2?
n/a/s/l,"name, age, sex location"
dgms,don't get me started
p0wn,make to look bad
slos,someone looking over shoulder
ntmk,not to my knowledge
ntmu,nice to meet you
ihtfp,i hate this fucking place
ntmy,nice to meet you
b4u,before you
fubb,fucked up beyond belief
p00p,poop
fubh,fucked up beyond hope
r.i.p.,rest in peace
fmutp,fuck me up the pussy
fubr,fucked up beyond recognition
ijaf,it's just a fact
icydn,in case you didn't know
b4n,bye for now
lolngs,laghing out loud never gonna stop
cid,consider it done
trnsl8,translate
mfkr,motherfucker
roger,affirmative
pima,pain in my ass
yaafm,you are a fucking moron
xmas,christmas
bmha,bite my hairy ass
hmfic,head mother fucker in charge
yust,why you say that
nvrmnd,never mind
o&o,over and out
gtgbb,got to go bye bye
ywic,why would i care
ywia,you're welcome in advance
gnst,goodnight sleep tight
1nce,once
lmfpo,laughing my fucking pussy off
waygow,who are you going out with
faggit,faggot
pl0x,please
bi,bye
uctaodnt,you can't teach an old dog new tricks
ttms,talking to myself
twis,that's what i said
cmeo,crying my eyes out
ttml,talk to me later
buwu,breaking up with you
0noe,oh no
hrud,how are you doing
boomm,bored out of my mind
luff,love
omfsm,oh my flying spaghetti monster
utube,youtube
wilco,will comply
kkthnxbye,okay thanks bye
ive,i have
utfs,use the fucking search
cylbd,catch ya later baby doll
ctrn,can't talk right now
ctrl,control
shut^,shut up
bewt,boot
bros,brothers
curn,calling you right now
bewb,boob
hxc,hardcore
gfam,go fuck a monkey
stfub,shut the fuck up bitch
stfua,shut the fuck up already
gfak,go fly a kite
gfad,go fuck a duck
stfun,shut the fuck up nigger
ykwya,you know who you are
wwudtm,what would you do to me
gfas,go fuck a sheep
defs,definetly
rotflmao,rolling on the floor laughing my ass off
lmvo,laugh my vagina off
fimh,forever in my heart
wpe,worst president ever (bush)
lshiwms,laughing so hard i wet myself
tks,thanks
b-cuz,because
y!a,yahoo answers
afaicr,as far as i can remember
afaics,as far as i can see
afaict,as far as i can tell
roflmaopmp,"rolling on the floor, laughing my ass off, pissing my pants"
hubby,husband
gdr,"grinning, ducking, running"
ishii,i see how it is
sum1,someone
bzns,buisness
2k1,2001
noodz,nude pictures
rplbk,reply back
awol,absent without leave
wtfiup,what the fuck is your problem
wttp,want to trade pictures?
intel,intelligence
gimme,give me
smthng,something
nufin,nothing
tvm,thanks very much
udek,you don't even know
ezi,easy
ayagob,are you a girl or boy
tliwwv,this link is worthless without video
avgn,angry video game nerd
noob,someone who is new
ddr,dance dance revolution
totm,top of the morning
totl,total
totp,talking on the phone
ddl,direct download
ddg,drop dead gorgeous
ddf,drug and disease free
ybya,you bet your ass
wtmi,way too much information
wdtm,what does that mean
ntigaf,not that i give a fuck
fmita,fuck me in the ass
acc,account
y2k,year 2000
abreev,abbreviation
ack,acknowledged
akpcep,alexander king project cultural engineering project
ilysmih,i love you so much it hurts
gtgn,got to go now
gtgb,got to go bye
t#3,the
wadr,with all due respect
shiet,shit
wygowm,will you go out with me
gtgp,got to go pee
1dering,wondering
sumtin,something
heh,haha
witu,with you
witw,what in the world
kotor,knights of the old republic
yayo,cocaine
jsyn,just so you know
jsyk,just so you know
nigysob,now i've got you son of a bitch
code9,other people near by
ohn,oh hell no
gona,gonna
brbmf,be right back mother fucker
af,assface
ai,artificial intelligence
ah,ass hole
haxorz,hackers
dndp,do not double post
jtbs,just to be sure
ohy,oh hell yeah
gnfpwlbn,good news for people who love bad news
gtgmmiloms,got to go my mum is looking over my shoulder
uhab,you have a blog
c4ashg,care for a shag
wtful,what the fuck you loser
friggin,freaking
bobfoc,"body of baywatch, face of crimewatch"
*s*,smile
ywvm,you're welcome very much
a3,"anyplace, anywhere, anytime"
irdgaf,i really don't give a fuck
ymbkm,you must be kidding me
cpl,cyber athlete professional league
cpm,cost per 1000 impressions
dyec,don't you ever care
ssdd,"same shit, different day"
cpy,copy
tyfi,thank you for invite
ssdp,same shit different pile
cpu,computer
lsmih,laughing so much it hurts
smt,suck my tits
roflmho,rolling on the floor laughing my head off
gdby,good bye
mnm,eminem
wywh,wish you were here
tx,thanks
ty,thank you
tv,television
tw,teacher watching
tu,thank you
ts,talking shit
tp,toilet paper
tq,thank you
tl,tough luck
tk,team kill
taig,that's all i got.
te,team effort
tb,text back
tc,take care
ta,thanks again
ppls,people
smf,stupid motherfucker
rotfl,rolling on the floor laughing
pplz,people
rn,right now
ro,rock out
pbp,please be patient
pbb,parent behind back
pbm,parent behind me
pbj,peanut butter and jelly
copyvio,copyright violation
xroads,crossroads
wyhi,would you hit it?
otoh,on the other hand
8008135,boobies
xor,hacker
tgfuap,thank god for unanswered prayers
chillin,relaxing
xox,hugs and kisses
leik,like
tiic,the idiots in control
b2w, back to work
b2u,back to you
lshid,laugh so hard i die
lshic,laughing so hard i'm crying
bf+gf,boyfriend and girlfriend
ijgl,i just got laid
b2b,business to business
wanafuk,wanna fuck
pics,pictures
aufm,are you fucking mental
vid,video
biab,back in a bit
vip,very important person
aota,all of the above
aoto,amen on that one
vweg,very wicked evil grin
moro,tomorrow
bblig,be back later...i guess
lmgdao,laughing my god damn ass off
morf,male or female
tysfm,thank you so fucking much
wuut,what you up to
vbeg,very big evil grin
xellent,excellent
dood,dude
dernoe,i don't know
ymg2c,your mom goes to college
ihya,i hate you all
dugi,do you get it?
wuu2,what you up to
cancer stick,cigarette
intarwebs,internet
wduwta,what do you wanna talk about
preggers,pregnant
prsn,person
bogo,buy one get one
atw,all the way
j2luk,just to let you know
fashizzle,for sure
hugz,hugs
nooblet,new player
waw,what a whore
isb,i'm so bored.
ymfp,your most favorite person
omfgsh,oh my fucking gosh
whever,whatever
bogof,buy one get one free
f-ing,fucking
ttiuwop,this thread is useless without pics
npgf,no problem girl friend
itn,i think not
byself,by myself
itk,in the know
itd,in the dark
ite,alright
dilf,dad i'd like to fuck
itc,in that case
ita,i totally agree
ctpc,cant talk parent(s) coming
itz,it's
itt,in this thread
4fs,for fuck's sake
wrd,word
wrm,which reminds me
wrk,work
wrt,with regard to
wru,where are you
lmto,laughing my tits off
lmtd,limited
lmty,laughing more than you
icymi,in case you missed it
yhgtbsm,you have got to be shitting me
evn,even
1ab,wannabe
dnrtfa,did not read the fucking article
imcdo,in my conceited dogmatic opinion
gfx,graphics
xcpt,except
gfu,go fuck yourself
jtyltk,just thought you'd like to know
gfi,good fucking idea
gfo,go fuck off
gfl,grounded for life
orpg,online role playing game
gfg,good fucking game
gfd,god fucking damnit
gfe,girl friend experience
ftp,file transfer protocol
fts,fuck that shit
ftr,for the record
ftw,for the win!
invu,i envy you
fta,from the article
ftb,fuck that bitch
2getr,together
ftf,face to face
ftk,for the kill
lolees,laugh out loud
ftl,for the lose
sutuct,so you think you can type
nmhau,nothing much how about you
"t,ftfy","there, fixed that for you"
sytycd,so you think you can dance
cfid,check for identification
inttwmf,i am not typing this with my fingers
rong,wrong
rugay,are you gay
hppy,happy
y00,you
hott,hot
dfu,don't fuck up
dfw,down for whatever
ownzorz,owned.
asarbambtaa,all submissions are reviewed by a moderator before they are added.
ilysfm,i love you so fucking much
skoul,school
nomw,not on my watch
codbo2,call of duty: black ops ii
nvmdt,never mind then
dfc,don't fucking care
amsp,ask me something personal
gnasd,good night and sweet dreams
phreak,freak
shld,should
aaf,as a friend
tgfe,together forever
aak,alive and kicking
omhg,oh my hell god
l2r,learn to read
tgfu,too good for you
tgft,thank god for that
tat2,tattoo
yhf,you have failed
@$$,ass
wysiwyg,what you see is what you get
wafn,what a fucken noob
wafl,what a fucking loser
wafm,wait a fucking minute
qpr,quite pathetic really
wuu22m,what you up to tomorrow
urssb,you are so sexy baby
kthxbi,"ok, thank you, goodbye"
ctncl,can't talk now call later
qt3.14,cutie pie
plac,parent looking at computer
gbtw,go back to work
ianyl,i am not your lawyer
tpb,the pirate bay
ttiwwop,this thread is worthless without pics
h2o,water
tps,test procedure specification
exp,experience
lbvs,laughing but very serious
2sday,tuesday
4umb,for you maybe
cr8,crate
asbmaetp,acronyms should be memorable and easy to pronounce
orlsx,oral sex
fmnb,fuck me now bitch
g2hb,go to hell bitch
ph34r,fear
crs,can't remember shit
crp,crap
wazza,what's up
p.o.s.,parent over shoulder
sk8ing,skating
rff,really fucking funny
sthu,shut the hell up
rfn,right fucking now
crm,customer relationship management
sez,says
seg,shit eatin grin
sed,said
sec,second
seo,search engine optimization
lmgtfy,let me google that for you
rite,right
g2t2s,got to talk to someone
wubut,what you been up too
thot,the hoe of today
pdq,pretty damn quick
lasb,lame ass stupid bitch
pdg,pretty damn good
pda,public display of affection
rofc,rolling on floor crying
iluvu,i love you
ikwym,i know what you mean
ryte,right
pleeze,please
rofl,rolling on the floor laughing
rofalol,roll on the floor and laugh out loud
iluvm,i love you very much
wan2tlk,want to talk
ijsabomomcibstg,i just saved a bunch of money on my car insurance by switching to geico
wtiiot,what time is it over there?
stoopid,stupid
wogge,what on god's green earth?
nrn,no response necessary
iddi,i didn't do it
funy,funny
ig2g,i got to go
cowboy choker,cigarette
mlc,mid life crisis
mle,emily
urstpid,you are stupid
mlp,my little pony
piab,panties in a bunch
muve,multi-user virtual environment
motd,message of the day
<3,love
bbfs,best boyfriends
audy,are you done yet?
bbfn,bye bye for now
pen0r,penis
wuwu,what up with you
wuwt,what's up with that
bohic,bend over here it comes
wuwh,wish you were here
ctc,call the cell
dfwm,don't fuck with me
2u2,to you too
fyrb,fuck you right back
knn,fuck your mother
kno,know
eleo,extremely low earth orbit
pitrtul,parents in the room text you later
ttywl,talk to you way later
knw,know
bm4l,best mates for life
dhac,don't have a clue
shexi,sexy
nefing,anything
ggal,go get a life
shexy,sexy
m4m,male for male
n2mhjc,not too much here just chillin
m4f,male for female
khuf,know how you feel
phayl,fail
shwr,shower
hoopty,broke down automobile
hswm,have sex with me
interweb,internet
utfse,use the fucking search engine
h4xx0rz,hacker
pkemon,pokemon
ijp,internet job posting
ijr,i just remembered
s2us,speak to you soon
wtfayd,what the fuck are you doing
b4,before
moobs,man boobs
ijf,i just farted
b3,be
ihtutbr,i have to use the bathroom
ijk,i'm just kidding
trble,trouble
h4x0r,hacker
irgtgbtw,i've really got to get back to work
7734,hell
bd,birthday
wazzup,what's up
plocks,please
haxer,hacker
bb,bye bye
bc,because
bl,bad luck
bm,bite me
bn,been
bo,body odour
bh,bloody hell
bj,blowjob
bk,back
bt,bit torrent
br,bathroom
bs,bullshit
bz,busy
b@,banned
cmao,crying my ass off
cmar,cry me a river
avvie,avatar
b'day,birthday
every1,everyone
hith,how in the hell
ebitda,"earnings before interest, taxes, depreciation and amortization"
suib,shut up im busy
bion,believe it or not.
u2,you too
pcrs,parents can read slang
wtfiyp,what the fuck is your problem
atop,at time of posting
wbbs,will be back soon
roffleol,rolling on the floor laughing out loud
cig,cigarette
pmfji,pardon me for jumping in
ut,you there
uw,you're welcome
ur,your
cis,computer information science
ul,unlucky
ui,user interface
l@u,laughing at you
ua,user agreement
impo,in my personal opinion
sxc,sexy
sxe,straight edge
sxi,sexy
cyl8er,see you later
char,character
sxs,sex
iduwym,i don't understand what you mean.
sxy,sexy
pezzas,parents
ihtgttbwijd,"i have to go to the bathroom, wait i just did."
tard,retard
tuff,tough
tptb,the powers that be
scurred,scared
gpwm,good point well made
btwilu,by the way i love you
stfuah,shut the fuck up asshole
fpos,fucking piece of shit
agn,again
summin,something
hella,very
yrsaf,you are such a fool
wywo,while you were out
s'pose,suppose
hdydi,how do you do it
totes,totally
ownzer,one who makes others look bad
hdydt,how did you do that
shiat,shit
n8v,native
lyao,laugh your ass off
ev1,everyone
cod4,call of duty 4
cod5,call of duty 5
instagib,instant kill
h4x,hacks
h4xr,hacker
b.f.f.,best friend forever
tfbundy,totaly fucked but unfortunatly not dead yet
eva,ever
trd,tired
ruwm,are you watching me
evr,ever
tru,true
xcept,except
waloc,what a load of crap
l2m,listening to music
l2p,learn to play
n64,nintendo 64
wtwm,what time are we meeting?
odg,oh dear god
idlyitw,i don't like you in that way
nmp,not my problem
g2bl8,going to be late
tdl,too damn lazy
ursh,you are so hot
kafn,kill all fucking noobs
fmhb,fuck me hard bitch
ursg,you are so gay
tdf,to die for
lez,lesbian
ctt,change the topic
o.p.,original poster
boxor,box
cts,change the subject
rdy,ready
ctf,capture the flag
thatz,that's
idkymb2,i didn't know yoru mom blogs too
ctm,chuckle to myself
ctn,can't talk now
dyac,damn you auto correct
waysttm,why are you still talking to me
sgi,still got it
plywm,play with me
sgb,straight/gay/bisexual
cyntott,see you next time on tech today
gtfooh,get the fuck out of here
zig,cigarette
pfa,please find attached
zh,zero hour
babi,baby
upmo,you piss me off
pfm,please forgive me
pfo,please fuck off
pfy,pimply faced youth
tbss,too bad so sad
b8rez,batteries
syrs,see ya real soon
?up,what's up?
glwt,good luck with that
leme,let me
warez,illegally obtained software
imwtk,inquiring minds want to know
wdywtdt,why do you want to do that?
btfw,by the fucking way
npi,no pun intended
nph,no problem here
npe,nope
fitb,fill in the blank
npa,not paying attention
npc,non-playable character
evry,every
btfl,beautiful
btfo,back the fuck off
fcbk,facebook
idfk,i don't fucking know
cmiiw,correct me if i'm wrong
gcf,google click fraud
idgara,i don't give a rat's ass
gdilf,grandad i'd like to fuck
roflwtime,rolling on the floor laughing with tears in my eyes
b82rez,batteries
jgtfooh,just get the fuck out of here
yomank,you owe me a new keyboard
afc,away from computer
ydufc,why do fucking care?
idtis,i don't think i should
kisa,knight in shining armor
lzr,loser
nade,grenade
ibtl,in before the lock
tbfu,too bad for you
4ax0r,hacker
usuk,you suck
kpc,keeping parents clueless
bettr,better
lmffao,laughing my fucking fat ass off
rtfmfm,read the fucking manual fucking moron
iydhantsdsaaa,if you don't have anything nice to say don't say anything at all
nm u,"not much, you"
siol,shout it out loud
hawt,hot
juzt,just
heyy,hello
giyf,google is your friend
rolmao,rolling over laughing my ass off
gmtyt,good morning to you too
dhcp,dynamic host configuration protocol
yarly,yeah really
wmyb,what makes you beautiful
shup,shut up
doin',doing
shud,should
bak,back
frens,friends
bai,bye
ihy,i hate you
hawf,husband and wife forever
owned,made to look bad
ihu,i hate you
dttriaa,don't tell the riaa
nps,no problems
gfgi,go fucking google it
iotd,image of the day
ih8,i hate
gotcha,got you
botoh,but on the other hand
lmho,laughing my heiny off
t4m,transgender for male
t4a,thanks for asking
osbutctt,only sad bastards use this crappy text talk
twoh,typing with one hand
ytis,you think i'm special?
w2ho,want to hang out
udwk,you don't want to know
cmcp,call my cell phone
ttutt,to tell you the truth
s.i.t.,stay in touch
kute,cute
n2mh,not too much here
suka,sucker
soad,system of a down
probly,probably
fxp,file exchange protocol
soab,son of a btch
sukz,sucks
tnxz,thanks
fxe,foxy
nevarz,never
awes,awesome
n2mu,"not too much, you?"
yrsm,you really scare me
fo sho,for sure
iyswim,if you see what i mean
degmt,don't even give me that
yrss,you are so sexy
a'ight,alright
bezzie,best friend
foyb,fuck off you bitch
dbi,don't beg it
dbh,don't be hating
dbm,don't bother me
lmaol,laughing my ass out loud
wotv,what's on television?
wotw,word of the week
dbg,don't be gay
dbz,dragonball z
rofflecake,rolling on the floor laughing
jas,just a second
gb2,go back to
mmiw,my mom is watching
oicu,"oh, i see you!"
irl,in real life
stufu,stupid fucker
g2/-/,go to hell
bhwu,back home with you
gba,game boy advance
j4u,just for you
j4l,just for laughs
gbu,god bless you
ohic,oh i see
j4g,just for grins
j4f,just for fun
gby,good bye
btw,by the way
bts,be there soon
btr,better
bty,back to you
btd,bored to death
qte,cutie
btb,by the by
btm,bottom
ftio,fun time is over
yasg,you are so gay
yasf,you are so funny
plma,please leave me alone
yasw,you are so weird
ntxt,no text
yhew,you
etp,eager to please
e4u2s,easy for you to say
tlc,tender loving care
tla,three letter acronym
eta,estimated time of arrival
tld,told
tlk,talk
pb&j,peanut butter and jelly
icup,i see you pee
jj/k,just joking
cm,call me
cb,come back
omgykkyb,oh my god you killed kenny you bastards
cg,congratulations
lk,like
njoy,enjoy
cs,counter-strike
cr,can't remember
cp,child porn
cu,goodbye
ct,can't talk
c@,cat
f u,fuck you
lgn,link goes nowhere
lgo,life goes on
jg2h,just go to hell
lgb,lesbian/gay/bisexual
tsnf,that's so not fair
lgf,little green footballs
wthhyb,where the hell have you been?
lgr,little girls room
lgs,let's go shopping!
fmnkml,fuck me now kiss me later
ycmtsu,you can't make this shit up
cvq,chucking very quietly
